R,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,T,P
1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,2,0,0,0,0,3,0,4,4,0,0,5,0,4,0,4,4,4,0,0,0,4,0,4,0,0,0,0,0,0,0,4,4,4,4,0,0,4,0,300000000020000000003000002200003,044005040444000404000000044440040
0,0,2,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,4,0,0,4,4,4,0,4,0,0,4,4,0,0,0,0,0,0,4,4,0,0,4,0,0,5,4,4,0,4,020000030003000000000000000002320,000400444040044000000440040054404
0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,2,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,0,4,0,4,0,0,4,4,0,4,4,0,0,0,0,0,0,4,4,0,4,0,4,4,0,5,0,0,4,0,0,000000000002023200000000033000000,040404004404400000044040440500400
1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,4,4,4,0,0,4,4,4,0,0,0,4,0,0,4,4,4,4,0,4,0,0,0,5,0,4,0,0,0,0,0,0,0,000000002200003300000020000003000,444004440004004444040005040000000
0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,0,0,2,0,0,0,0,4,0,5,0,4,0,4,0,4,4,4,4,0,0,0,0,4,0,4,0,0,0,0,0,0,4,4,0,4,0,0,4,0,000000003030000000000023020020000,405040404444000040400000044040040
1,0,0,3,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,3,4,4,0,0,5,4,0,4,4,0,4,4,0,0,4,0,0,0,0,4,0,4,0,0,0,4,0,0,4,0,0,4,0,003030000000200000000020200000003,440054044044004000040400040040040
0,0,0,2,0,0,0,3,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,4,0,4,4,0,0,0,0,4,0,0,4,0,4,4,0,0,4,0,5,0,0,0,0,4,0,0,0,4,4,4,4,0,002000300020200000000030000000300,404400004004044004050000400044440
0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,4,4,0,4,0,4,4,0,0,5,0,0,0,4,0,4,0,0,4,4,4,4,0,0,0,4,0,4,0,0,0,0,0,020002000000000020000030003300000,440404400500040400444400040400000
0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,3,0,3,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,4,4,0,0,0,0,4,0,0,4,0,4,4,4,0,0,0,0,4,0,0,5,0,0,4,4,0,4,4,0,000000000020200030320000000300000,004440000400404440000400500440440
0,0,0,0,0,0,0,2,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,3,0,4,0,0,0,0,4,0,4,0,0,0,0,0,0,4,4,4,4,0,0,4,4,4,0,4,4,0,0,4,0,0,5,0,000000203000200000000030000000230,400004040000004444004440440040050
0,0,2,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,3,0,0,0,4,0,0,4,4,4,0,4,4,0,4,0,4,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,4,5,4,4,020000200000030000020000003003000,400444044040400000440000000004544
0,0,0,0,0,0,2,0,0,2,2,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,4,4,0,4,4,0,4,4,4,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,5,0,0,4,0,000002002230000030000000000000003,004044044044400040400040400050040
0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,2,0,0,0,0,3,0,0,0,0,4,0,4,4,0,0,0,4,4,4,4,0,4,0,0,0,4,0,0,5,4,4,0,0,0,0,0,0,4,0,4,002030000000000020000003020000300,004044000444404000400544000000404
1,0,2,0,0,0,0,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,4,0,0,4,0,4,0,4,0,4,4,0,4,4,0,0,0,4,0,0,0,0,4,0,5,0,4,4,0,0,0,4,020000200330000000000002000000300,040040404044044000400004050440004
0,0,0,0,0,0,0,3,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,4,0,0,4,4,0,0,0,0,0,5,0,4,0,0,0,0,4,0,4,0,4,0,0,4,0,4,0,0,4,4,4,4,000000320002020000000030003000000,400440000050400004040400404004444
1,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,4,0,5,4,0,0,4,0,4,0,0,4,4,4,0,0,0,0,0,0,4,0,4,0,4,4,0,0,4,0,4,203020000000000002000030000000300,004054004040044400000040404400404
1,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,0,0,4,4,4,0,4,5,0,4,0,0,0,0,4,4,0,0,4,4,0,4,000202000000020000300000303000000,404000000400044404504000044004404
1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,3,0,0,2,3,0,0,0,0,0,0,0,4,4,0,0,4,4,4,0,0,4,5,4,0,0,0,0,4,0,4,0,0,0,4,0,4,0,0,4,0,0,4,000000020000000003020003002300000,004400444004540000404000404004004
1,2,0,0,0,0,0,0,0,3,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,4,4,0,0,4,0,4,4,0,4,0,4,0,4,0,0,0,0,0,4,0,0,0,5,0,4,0,4,0,4,4,0,200000003000003200000000000003002,044004044040404000004000504040440
0,0,0,0,0,0,2,0,3,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,4,4,0,4,0,0,0,4,4,0,4,0,4,4,4,0,5,0,0,0,4,0,0,0,4,0,4,0,4,0,0,0,0,000002030030000200000000000300200,440400044040444050004000404040000
0,0,0,0,2,0,0,2,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,4,4,4,4,4,4,4,4,0,4,0,0,4,4,0,0,000200230000300000000300000020000,050000000040000404444444404004400
1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,0,4,0,4,0,4,0,4,0,4,5,0,4,4,0,4,0,0,4,4,0,0,000002002000000000300033000020000,000004044000404040404504404004400
1,3,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,4,4,0,4,0,0,0,4,0,4,0,4,4,4,0,0,0,0,0,0,5,4,0,4,0,300000022200000003000300000000000,404400004404000404044400000054040
1,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,3,0,2,0,0,0,0,4,4,4,4,0,4,4,4,4,0,0,4,4,5,0,0,4,0,4,0,0,0,0,0,4,0,0,0,0,0,000000030000300000020000000203020,000444404444004450040400000400000
1,3,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,4,0,4,0,0,0,0,5,4,0,4,0,4,0,0,0,4,4,4,4,0,0,0,0,4,4,0,4,4,300000200200000003000000020003000,000040400005404040004444000044044
1,0,0,2,0,0,3,0,0,0,0,0,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,4,4,4,4,4,0,4,5,0,0,0,4,0,0,4,0,4,0,4,4,0,0,002003000000230200000000000300000,400400000004444404500040040404400
1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,2,4,0,0,0,4,0,0,0,4,0,4,5,0,4,0,4,0,0,4,4,0,4,4,0,0,0,4,4,0,0,0,0,4,002000000000200300000030003000002,400040004045040400440440004400004
1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,2,0,0,0,0,0,0,0,0,2,0,0,4,0,4,0,0,0,0,0,0,0,4,0,5,0,0,0,4,0,0,4,4,4,4,4,0,4,4,4,0,0,0,4,000003000000000000332020000000020,040400000004050004004444404440004
1,0,0,3,2,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,4,4,4,0,4,0,4,4,0,4,0,0,0,4,0,4,4,0,0,0,0,4,5,4,0,0,4,0,0,003200000000032000000000300200000,000044404044040004044000045400400
1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,3,0,3,0,0,0,0,4,4,4,4,0,0,4,0,4,4,0,0,0,0,5,4,0,0,4,4,4,0,0,0,0,0,4,0,4,0,0,0,300000000000000020000002020303000,044440040440000540044400000404000
0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,3,2,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0,4,0,0,0,0,4,0,0,4,0,0,5,4,0,4,0,0,4,4,0,0,4,4,4,0,203000000000000200000033200000000,400400404000040040054040044004440
0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,2,0,0,2,0,0,4,0,0,0,5,0,4,0,0,4,4,0,0,0,4,4,0,0,0,0,4,0,4,0,4,0,4,4,0,4,0,0,4,200000300000000000030030000200200,400050400440004400004040404404004
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,3,0,0,0,0,0,2,0,3,0,0,0,0,0,3,0,0,0,4,4,0,0,0,0,4,0,0,5,0,4,0,0,0,0,4,0,4,0,0,0,0,0,4,4,4,4,4,0,4,4,000000000002002030000020300000300,044000040050400004040000044444044
0,0,0,0,3,0,0,0,0,0,2,0,0,2,3,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,0,5,0,0,0,4,0,4,0,0,4,4,4,4,0,4,4,4,0,0,4,0,0,0,0,000300000200230030200000000000000,400040040500040400444404440040000
0,0,0,0,0,0,0,0,0,2,0,3,0,3,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,4,4,0,4,4,0,4,4,4,0,0,0,0,4,0,0,0,4,5,0,0,4,000000002030300003000020000020000,040404000004404404440000400045004
0,0,2,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,3,0,0,0,0,4,4,4,4,0,0,0,4,4,0,0,0,0,0,4,0,0,0,4,4,0,0,4,4,0,0,0,0,5,4,0,4,020000200000030000020000003003000,044440004400000400044004400005404
0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,4,0,0,4,0,4,4,0,0,5,0,0,0,4,0,0,4,0,4,0,0,0,4,4,4,4,0,4,0,4,000030000000000202020000000003003,000400404400500040040400044440404
0,0,0,0,0,0,2,0,0,2,2,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,4,0,4,0,0,0,4,0,4,4,0,0,0,0,0,4,0,4,4,0,0,0,0,4,5,0,0,4,4,0,000002002230000030000000000000003,404404000404400000404400004500440
0,2,0,0,3,0,0,0,3,0,0,0,0,2,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,4,0,4,4,0,0,0,4,0,0,4,0,0,0,0,4,0,4,5,4,0,0,0,0,0,4,4,200300030000203000000200000000000,444000404400040040000404540000044
0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,3,0,3,2,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,4,5,0,0,0,0,4,0,4,4,0,4,0,0,0,4,0,4,0,0,4,0,0,0,4,4,0,0,4,4,000000000020200030320000000300000,400450000404404000404004000440044
0,0,0,0,0,0,0,0,0,0,0,3,2,3,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,4,4,4,0,4,0,5,0,4,0,0,4,0,4,4,4,0,4,000000000032300000223000000000000,000400400400000444040504004044404
0,0,2,0,0,0,0,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,4,0,0,4,4,4,4,4,4,0,0,0,4,0,4,0,0,4,4,0,0,4,0,0,0,0,0,0,0,0,0,5,4,020000200330000000000002000000300,400444444000404004400400000000054
1,0,0,0,0,0,0,0,2,0,0,3,3,0,0,0,0,0,0,0,0,0,2,0,3,0,2,0,0,0,0,0,0,0,4,0,4,0,4,4,0,0,0,0,4,4,0,0,4,0,0,4,0,0,4,5,4,0,0,4,0,4,0,0,4,0,0,000000020033000000000203020000000,404044000044004004004540040400400
0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,2,0,0,0,0,3,4,4,4,4,0,4,0,0,0,0,4,0,0,0,4,4,0,0,0,0,4,0,4,0,0,0,0,0,5,4,4,0,4,300000000020000000003000002200003,444404000040004400004040000054404
0,0,0,3,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,3,0,0,4,0,0,4,0,0,0,4,4,0,0,0,4,0,4,4,4,0,0,4,4,0,4,0,0,5,0,0,4,0,4,003030000000200000000020200000003,004004000440004044400440400500404
0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,2,0,0,0,0,0,0,0,4,0,4,4,5,0,4,4,0,0,0,0,0,0,4,4,4,0,4,0,0,0,4,0,4,4,0,0,4,0,000002002000000000300033000020000,000404450440000004440400040440040
